label,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12
# Recording started!
clap,-69.954453,12.364980,2.815796,0.518872,-1.930097,0.719336,0.983813,0.707917,3.088704,2.092184,1.030089,0.592138,0.008326
clap,-24.295536,10.586228,3.139322,3.778745,1.058658,-0.249031,2.862084,1.921070,-1.022711,1.339301,0.152853,0.845741,0.388829
clap,-86.714859,6.372283,2.333587,1.474439,1.954138,3.286810,3.752644,2.969366,1.966809,2.101879,2.043922,1.786757,1.233760
clap,-56.127586,11.435833,3.084801,1.769659,0.135497,1.418719,2.558183,3.068747,2.422147,1.688848,1.662181,1.252528,1.405054
clap,-64.228218,10.228076,4.859410,4.662201,3.729818,2.510673,2.392643,2.203031,1.715936,0.787031,1.036265,1.417917,0.687213
clap,-76.494919,10.181293,2.645522,-0.217685,-1.095065,0.736481,1.543303,0.754235,1.204313,0.836564,0.743038,1.867005,1.066274
clap,-56.027382,9.740806,3.474655,3.770322,2.375386,1.486511,1.590238,1.129663,2.493386,3.074063,2.094054,0.728250,0.955645
clap,-87.615395,7.034143,3.444575,3.081914,4.305766,2.304910,2.463050,2.601521,1.996031,1.777181,1.968197,2.077176,1.436515
clap,-77.305885,8.911375,2.588092,0.287825,1.593712,3.065882,1.702485,0.072098,1.433804,2.032657,2.117229,2.281006,1.152310
clap,-44.008015,10.881413,3.711906,3.169435,1.851738,2.058356,1.287818,1.162998,1.169094,1.006027,1.220622,0.468361,1.220035
clap,-88.474823,5.648642,2.553328,2.350142,2.712034,2.821932,2.674324,1.532668,1.359926,1.721151,2.106018,2.007058,1.860215
clap,-56.993931,10.978736,3.145946,3.120909,1.384917,2.775600,1.236082,1.120788,1.570089,1.159967,0.137792,-0.102547,0.892499
clap,6.605559,9.774308,-0.933419,3.500154,2.338321,2.212795,1.290232,0.209543,-0.211945,-0.594820,1.171909,0.678995,-0.209073
clap,-78.861259,8.121754,1.915564,1.099310,1.360977,1.027450,1.455653,1.556646,2.239146,1.960507,0.677118,1.694545,1.292653
